Rank,Address,Hex,High_Byte,Low_Byte,Hits,Resonance
1,24445,0x5f7d,95,125,1994,1.27616
2,22473,0x57c9,87,201,1965,1.2576
3,17480,0x4448,68,72,1962,1.25568
4,61207,0xef17,239,23,1960,1.2544
5,24113,0x5e31,94,49,1958,1.25312
6,6392,0x18f8,24,248,1958,1.25312
7,42281,0xa529,165,41,1952,1.24928
8,8896,0x22c0,34,192,1951,1.24864
9,26387,0x6713,103,19,1950,1.248
10,9184,0x23e0,35,224,1949,1.24736
11,42577,0xa651,166,81,1949,1.24736
12,6855,0x1ac7,26,199,1945,1.2448
13,1940,0x794,7,148,1940,1.2416
14,20575,0x505f,80,95,1940,1.2416
15,15013,0x3aa5,58,165,1939,1.24096
16,56379,0xdc3b,220,59,1938,1.24032
17,24764,0x60bc,96,188,1935,1.2384
18,51362,0xc8a2,200,162,1935,1.2384
19,49524,0xc174,193,116,1934,1.23776
20,8017,0x1f51,31,81,1934,1.23776
21,19090,0x4a92,74,146,1934,1.23776
22,47279,0xb8af,184,175,1933,1.23712
23,35380,0x8a34,138,52,1932,1.23648
24,37767,0x9387,147,135,1930,1.2352
25,10781,0x2a1d,42,29,1930,1.2352
26,18951,0x4a07,74,7,1929,1.23456
27,16686,0x412e,65,46,1928,1.23392
28,19372,0x4bac,75,172,1927,1.23328
29,37789,0x939d,147,157,1927,1.23328
30,5932,0x172c,23,44,1927,1.23328
31,13423,0x346f,52,111,1925,1.232
32,44315,0xad1b,173,27,1925,1.232
33,6578,0x19b2,25,178,1924,1.23136
34,43756,0xaaec,170,236,1924,1.23136
35,9453,0x24ed,36,237,1924,1.23136
36,9653,0x25b5,37,181,1923,1.23072
37,31268,0x7a24,122,36,1922,1.23008
38,41378,0xa1a2,161,162,1920,1.2288
39,55595,0xd92b,217,43,1920,1.2288
40,42329,0xa559,165,89,1919,1.22816
41,34871,0x8837,136,55,1918,1.22752
42,10408,0x28a8,40,168,1918,1.22752
43,3573,0xdf5,13,245,1917,1.22688
44,4375,0x1117,17,23,1917,1.22688
45,54437,0xd4a5,212,165,1917,1.22688
46,9160,0x23c8,35,200,1917,1.22688
47,60693,0xed15,237,21,1915,1.2256
48,29604,0x73a4,115,164,1915,1.2256
49,7658,0x1dea,29,234,1914,1.22496
50,42042,0xa43a,164,58,1914,1.22496
51,47184,0xb850,184,80,1912,1.22368
52,34282,0x85ea,133,234,1912,1.22368
53,46950,0xb766,183,102,1912,1.22368
54,44079,0xac2f,172,47,1911,1.22304
55,16882,0x41f2,65,242,1910,1.2224
56,30696,0x77e8,119,232,1909,1.22176
57,5003,0x138b,19,139,1908,1.22112
58,43582,0xaa3e,170,62,1908,1.22112
59,55682,0xd982,217,130,1908,1.22112
60,37392,0x9210,146,16,1907,1.22048
61,38924,0x980c,152,12,1907,1.22048
62,35098,0x891a,137,26,1907,1.22048
63,16295,0x3fa7,63,167,1906,1.21984
64,38283,0x958b,149,139,1906,1.21984
65,26332,0x66dc,102,220,1906,1.21984
66,53897,0xd289,210,137,1905,1.2192
67,23479,0x5bb7,91,183,1905,1.2192
68,25822,0x64de,100,222,1905,1.2192
69,25374,0x631e,99,30,1904,1.21856
70,35882,0x8c2a,140,42,1904,1.21856
71,24519,0x5fc7,95,199,1904,1.21856
72,5126,0x1406,20,6,1904,1.21856
73,47794,0xbab2,186,178,1903,1.21792
74,5115,0x13fb,19,251,1903,1.21792
75,11653,0x2d85,45,133,1902,1.21728
76,56049,0xdaf1,218,241,1902,1.21728
77,16576,0x40c0,64,192,1902,1.21728
78,60949,0xee15,238,21,1901,1.21664
79,24942,0x616e,97,110,1901,1.21664
80,26667,0x682b,104,43,1901,1.21664
81,58187,0xe34b,227,75,1900,1.216
82,38579,0x96b3,150,179,1899,1.21536
83,62986,0xf60a,246,10,1899,1.21536
84,83,0x53,0,83,1899,1.21536
85,50320,0xc490,196,144,1898,1.21472
86,5256,0x1488,20,136,1898,1.21472
87,17678,0x450e,69,14,1897,1.21408
88,51213,0xc80d,200,13,1897,1.21408
89,11849,0x2e49,46,73,1897,1.21408
90,2291,0x8f3,8,243,1897,1.21408
91,21189,0x52c5,82,197,1896,1.21344
92,39376,0x99d0,153,208,1896,1.21344
93,35690,0x8b6a,139,106,1896,1.21344
94,16647,0x4107,65,7,1895,1.2128
95,7403,0x1ceb,28,235,1895,1.2128
96,16186,0x3f3a,63,58,1895,1.2128
97,32181,0x7db5,125,181,1894,1.21216
98,61322,0xef8a,239,138,1894,1.21216
99,43228,0xa8dc,168,220,1894,1.21216
100,16147,0x3f13,63,19,1893,1.21152
